Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры всего,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",Мясо,44.92,31.1,0.0,22.65,337,25,0.141,2.43,26,210,311,72,6.24,0.023,0,0,2.59,0.11,0.0,0.0,0.0,37.9,0.07,120,0.0,0.0,9.63,1.6,9.21,0,1.12,0,0,0,0,0,6.61,0.61,0,0.25
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/8""FAT,CKD,BRLD",Мясо,55.77,24.91,0.0,18.05,269,18,0.135,2.12,27,200,314,78,5.01,0.024,0,0,2.88,0.12,0.0,0.0,0.0,28.1,0.1,96,0.0,0.0,7.38,1.46,7.66,0,1.33,0,0,0,0,0,6.99,0.68,0,0.27
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,RAW",Мясо,63.39,17.01,0.0,18.97,244,17,0.098,1.5,21,163,234,63,4.4,0.02,0,0,2.62,0.14,0.0,0.0,0.0,19.6,0.11,71,0.0,0.0,7.76,1.54,8.04,0,0.91,0,0,0,0,0,5.4,0.68,0,0.21
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",Мясо,45.65,28.92,0.0,23.88,339,27,0.121,2.38,24,187,244,75,6.98,0.027,0,0,2.84,0.11,0.0,0.0,0.0,33.5,0.06,116,0.0,0.0,9.74,1.97,9.88,0,1.55,0,0,0,0,0,6.0,0.61,0,0.21
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",Мясо,57.01,23.48,0.0,18.5,267,24,0.123,1.73,24,201,341,83,5.77,0.024,0,0,2.74,0.15,0.0,0.0,0.0,27.8,0.09,95,0.0,0.0,7.88,1.3,7.49,0,1.17,0,0,0,0,0,6.33,0.67,0,0.25
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,RAW",Мясо,64.03,17.95,0.0,17.2,232,11,0.089,1.54,16,179,147,41,2.58,0.02,0,0,2.5,0.12,0.0,0.0,0.0,1.4,0.13,77,0.0,0.0,6.6,0.75,8.64,0,0.98,0,0,0,0,0,6.57,0.52,0,0.35
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CKD",Мясо,54.8,25.26,0.0,17.98,270,15,0.102,2.08,19,211,161,46,3.61,0.023,0,0,2.71,0.11,0.0,0.0,0.0,2.0,0.11,106,0.0,0.0,6.96,0.88,8.76,0,1.4,0,0,0,0,0,7.31,0.53,0,0.41
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,1/8""FAT,RAW",Мясо,66.02,18.04,0.0,16.15,223,10,0.095,1.49,15,170,131,45,3.37,0.02,0,0,2.53,0.11,0.0,0.0,0.0,3.5,0.13,71,0.0,0.0,6.19,0.7,8.18,0,1.06,0,0,0,0,0,6.3,0.51,0,0.36
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,1/8""FAT,CKD,BRSD",Мясо,56.76,26.97,0.0,15.83,258,14,0.102,2.07,15,175,118,47,4.8,0.024,0,0,2.44,0.08,0.0,0.0,0.0,5.3,0.07,102,0.0,0.0,6.1,0.73,7.82,0,1.61,0,0,0,0,0,6.07,0.41,0,0.33
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",Мясо,67.05,18.76,0.0,13.37,201,7,0.095,1.6,18,189,160,41,2.72,0.021,0,0,2.47,0.13,0.0,0.0,0.0,3.0,0.14,75,0.0,0.0,5.13,0.59,6.67,0,1.03,0,0,0,0,0,6.86,0.51,0,0.38
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,1/8""FAT,RAW",Мясо,59.95,17.18,0.0,22.1,273,17,0.087,1.59,15,170,128,39,1.94,0.018,0,0,2.13,0.12,0.0,0.0,0.0,1.5,0.13,82,0.0,0.0,8.47,0.95,11.23,0,0.92,0,0,0,0,0,6.85,0.5,0,0.3
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,1/8""FAT,CKD,BRLD",Мясо,52.17,24.41,0.0,21.28,296,23,0.112,2.1,20,213,164,50,2.76,0.022,0,0,2.54,0.11,0.0,0.0,0.0,2.1,0.12,113,0.0,0.0,8.2,0.99,10.56,0,1.34,0,0,0,0,0,7.92,0.49,0,0.37
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN&FAT,1/8""FAT,RAW",Мясо,56.61,15.87,0.0,27.0,311,15,0.067,1.43,13,153,120,42,2.19,0.017,0,0,2.22,0.09,0.0,0.0,0.0,1.3,0.12,80,0.0,0.0,10.35,1.16,13.7,0,0.85,0,0,0,0,0,6.29,0.5,0,0.26
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,RAW",Мясо,62.0,17.19,0.0,19.74,251,17,0.083,1.36,15,168,137,42,2.91,0.019,0,0,3.14,0.08,0.0,0.0,0.0,2.7,0.12,74,0.0,0.0,7.57,0.86,9.9,0,0.94,0,0,0,0,0,5.46,0.55,0,0.31
