Ингредиент,Описание,Категория,Вода,Белки,Углеводы,Жиры,Калории,Кальций,Медь,Железо,Магний,Фосфор,Калий,Натрий,Цинк,Марганец,Витамин A (МЕ),Витамин A (RAE),Витамин B12,Витамин B6,Витамин C,Витамин E,Витамин K,Селен,Тиамин (B1),Холестерин,Клетчатка,Сахара всего,Мононенасыщенные жиры,Полиненасыщенные жиры,Насыщенные жиры,Альфа-каротин,Зола,Бета-каротин,Бета-криптоксантин,Холин,Лютеин и зеаксантин,Ликопин,Ниацин (B3),Пантотеновая кислота (B5),Ретинол (витамин A),Рибофлавин (B2)
Йогурт,"Обычный, Цельное Молоко, 8 Граммов Белка На 8 Унций",Молочные продукты,"87,9","3,47","4,66","3,25",61,121,"0,009","0,05",12,95,155,46,"0,59","0,004",99,27,"0,37","0,032","0,5","0,06","0,2","2,2","0,029",13,0,"4,659999847","0,893","0,092","2,096",0,"0,72",5,0,15,0,0,"0,075","0,389",27,"0,142"
Йогурт,"Обычный, Нежирный, 12 Граммов Белка На 8 Унций",Молочные продукты,"85,07","5,25","7,04","1,55",63,183,"0,013","0,08",17,144,234,70,"0,89","0,004",51,14,"0,56","0,049","0,8","0,03","0,2","3,3","0,044",6,0,"7,039999962","0,426","0,044",1,0,"1,09",2,0,15,0,0,"0,114","0,591",14,"0,214"
Йогурт,"Обычный, Обезжиренное Молоко, 13 Граммов Белка На 8 Унций",Молочные продукты,"85,23","5,73","7,68","0,18",56,199,"0,015","0,09",19,157,255,77,"0,97","0,005",7,2,"0,61","0,053","0,9",0,"0,2","3,6","0,048",2,0,"7,679999828","0,049","0,005","0,116",0,"1,18",0,0,15,0,0,"0,124","0,641",2,"0,234"
Ячмень,Очищенный (Шелушенный),Крупы,"9,44","12,48","73,48","2,3",354,33,"0,498","3,6",133,264,452,12,"2,77","1,943",22,1,0,"0,318",0,"0,57","2,2","37,7","0,646",0,"17,29999924","0,800000012","0,295","1,108","0,482",0,"2,29",13,0,0,160,0,"4,604","0,282",0,"0,285"
Ячмень,Жемчужный (Перловый),Крупы,"10,09","9,91","77,72","1,16",352,29,"0,42","2,5",79,221,280,9,"2,13","1,322",22,1,0,"0,26",0,"0,02","2,2","37,7","0,191",0,"15,60000038","0,800000012","0,149","0,56","0,244",0,"1,11",13,0,38,160,0,"4,604","0,282",0,"0,114"
Растительное Масло,Кокосовое,Масло/жир,0,0,0,100,862,0,0,"0,04",0,0,0,0,0,0,0,0,0,0,0,"0,09","0,5",0,0,0,0,0,"5,8","1,8","86,5",0,0,0,0,0,0,0,0,0,0,0
Растительное Масло,Пальмоядерное,Масло/жир,0,0,0,100,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,81","24,7",0,0,0,0,0,"11,4","1,6","81,5",0,0,0,0,0,0,0,0,0,0,0
Растительное Масло,Авокадо,Масло/жир,0,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,554","13,486","11,56",0,0,0,0,0,0,0,0,0,0,0
Растительное Масло,Горчичное,Масло/жир,0,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,187","21,23","11,582",0,0,0,0,0,0,0,0,0,0,0
Растительное Масло,Овсяное,Масло/жир,0,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,4","24,7",0,0,0,0,0,"35,11","40,87","19,62",0,0,0,0,0,0,0,0,0,0,0
Горох,Съедобный Стручок,Овощи и фрукты,"88,89","2,8","7,55","0,2",42,43,"0,079","2,08",24,53,200,4,"0,27","0,244",1087,54,0,"0,16",60,"0,39",25,"0,7","0,15",0,"2,599999905",4,"0,021","0,089","0,039",44,"0,56",630,0,17,740,0,"0,6","0,75",0,"0,08"
Горох,Зеленый,Овощи и фрукты,"78,86","5,42","14,45","0,4",81,25,"0,176","1,47",33,108,244,5,"1,24","0,41",765,38,0,"0,169",40,"0,13","24,8","1,8","0,266",0,"5,099999905","5,670000076","0,035","0,187","0,071",21,"0,87",449,0,28,2477,0,"2,09","0,104",0,"0,132"
Горох,"Зрелые Семена, Пророщенные",Овощи и фрукты,"62,27","8,8","27,11","0,68",124,36,"0,272","2,26",56,165,381,20,"1,05","0,438",166,0,0,"0,265","10,4",0,0,"0,6","0,225",0,0,0,"0,061","0,326","0,124",0,"1,14",0,0,0,0,0,"3,088","1,029",0,"0,155"
Овсяные Отруби,Овсяные Отруби,Крупы,"6,55","17,3","66,22","7,03",246,58,"0,403","5,41",235,734,566,4,"3,11","5,63",0,0,0,"0,165",0,"1,01","3,2","45,2","1,17",0,"15,39999962","1,450000048","2,376","2,766","1,328",0,"2,89",0,0,32,180,0,"0,934","1,494",0,"0,22"
Тунец,"Свежий, Голубой Тунец (Тунец Обыкновенный)",Мясо,"68,09","23,33",0,"4,9",144,8,"0,086","1,02",50,254,252,39,"0,6","0,015",2183,655,"9,43","0,455",0,1,0,"36,5","0,241",38,0,0,"1,6","1,433","1,257",0,"1,18",0,0,65,0,0,"8,654","1,054",655,"0,251"
Тунец,"Свежий, Скипджек (Полосатый Тунец)",Мясо,"70,58",22,0,"1,01",103,29,"0,086","1,25",34,222,407,37,"0,82","0,015",52,16,"1,9","0,85",1,0,0,"36,5","0,033",47,0,0,"0,19","0,315","0,328",0,"1,3",0,0,0,0,0,"15,4","0,42",16,"0,1"
Тунец,"Свежий, Желтоперый (Тунец Желтоперый)",Мясо,"70,99","23,38",0,"0,95",108,16,"0,064","0,73",50,191,444,37,"0,52","0,015",60,18,"0,52","0,9",1,"0,5","0,1","36,5","0,434",45,0,0,"0,154","0,284","0,235",0,"1,34",0,0,65,0,0,"9,8","0,75",18,"0,047"
